player_name,database_fbref_id,null_records,affected_matches,min_minutes,max_minutes,status,correct_fbref_id,notes
Kirsten Davis,74887860,26,26,12,87,NEEDS_CHECK,,
Paige Metayer,470b26b3,26,26,29,90,NEEDS_CHECK,,
Wang Shuang,35864ba3,18,18,19,90,NEEDS_CHECK,,
Lena Silano,b999a14e,17,17,1,90,NEEDS_CHECK,,
Lily Nabet,295f4306,17,17,1,90,NEEDS_CHECK,,Found in HTML as 6fe0b3fe
Inès Jaurena,91b864fb,16,16,9,90,NEEDS_CHECK,,
Croix Soto,9a854d95,15,15,1,90,NEEDS_CHECK,,
Jillienne Aguilera,9512b32d,15,15,1,90,NEEDS_CHECK,,
Nicole Douglas,1998123e,15,15,1,74,NEEDS_CHECK,,
Frankie Tagliaferri,6d22d022,14,14,3,85,NEEDS_CHECK,,
Sierra Enge,4fcab1f1,14,14,7,90,NEEDS_CHECK,,
Marissa Sheva,f86c29df,13,13,2,90,NEEDS_CHECK,,
Isabella Briede,c58e149a,12,12,2,90,NEEDS_CHECK,,
Olivia Athens,42e269b6,12,12,1,90,NEEDS_CHECK,,
Rebecca Holloway,c65b28ec,12,12,7,90,NEEDS_CHECK,,
Alex Chidiac,ffa9361f,10,10,7,90,NEEDS_CHECK,,
Kelsey Turnbow,9413657a,9,9,4,90,NEEDS_CHECK,,
Samantha Fisher,002347a3,9,9,8,90,NEEDS_CHECK,,
Sarah Griffith,994875c3,9,9,4,76,NEEDS_CHECK,,
Anaïg Butel,f8e553a1,8,8,8,90,NEEDS_CHECK,,
Madison Elwell,a5b4bf69,8,8,5,90,NEEDS_CHECK,,
Sandra Starke,6a664f6c,8,8,35,73,NEEDS_CHECK,,
Jyllissa Harris,01560b29,7,7,1,90,NEEDS_CHECK,,
Ouleymata Sarr,b774b128,7,7,35,84,NEEDS_CHECK,,
Svava Rós Guðmundsdóttir,418082e4,7,7,1,45,NEEDS_CHECK,,
Shelby Hogan,755a959f,6,6,90,120,NEEDS_CHECK,,
Andressa,c9db7427,5,5,9,89,NEEDS_CHECK,,
Claire Lavogez,ca231f81,5,5,7,21,NEEDS_CHECK,,
Clarisse Le Bihan,f7d5735f,5,5,9,90,NEEDS_CHECK,,
Jenna Nighswonger,3d0e9d13,5,5,81,120,NEEDS_CHECK,,
Natalie Beckman,ad4e5eb2,5,5,4,45,NEEDS_CHECK,,
Scarlett Camberos,0a2fdba2,5,5,64,80,NEEDS_CHECK,,
Gabby Provenzano,a754e77a,4,4,4,45,NEEDS_CHECK,,
Jun Endō,f593cab9,4,4,10,90,NEEDS_CHECK,,
Naomi Girma,57b8b79c,4,4,90,90,NEEDS_CHECK,,
Sofia Jakobsson,27a4ff80,4,4,14,45,NEEDS_CHECK,,
Stine Ballisager Pedersen,01b77eeb,4,4,1,90,NEEDS_CHECK,,
Amanda Kowalski,7be85ead,3,3,21,45,NEEDS_CHECK,,
Elyse Bennett,dbdabf96,3,3,3,28,NEEDS_CHECK,,
Izzy D'Aquila,54e15a35,3,3,31,79,NEEDS_CHECK,,
Julia Lester,11865a9d,3,3,71,90,NEEDS_CHECK,,
Júlia,6772c295,3,3,33,90,NEEDS_CHECK,,
Kerolin,ef1ec0d9,3,3,64,90,NEEDS_CHECK,,
Amirah Ali,6385427b,2,2,13,70,NEEDS_CHECK,,
Cameron Tucker,ab8f6575,2,2,7,45,NEEDS_CHECK,,
Emina Ekic,8a985938,2,2,1,12,NEEDS_CHECK,,
Olivia Wingate,4ad01d4e,2,2,23,26,NEEDS_CHECK,,
Ryanne Brown,c4a75e48,2,2,69,73,NEEDS_CHECK,,
Hope Breslin,0c112128,1,1,11,11,NEEDS_CHECK,,
Parker Goins,d83042df,1,1,36,36,NEEDS_CHECK,,