match type,wk,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
fall series,,Sat,9/5/20,13:00,Spirit,1.5,1–2,1.8,Sky Blue FC,,Segra Field,Robinson Khongsai,Match Report,https://fbref.com/en/matches/0550dc14/Washington-Spirit-Sky-Blue-FC-September-5-2020-NWSL-Fall-Series,0550dc14
fall series,,Sat,9/12/20,12:00,Spirit,3.5,2–1,1.7,Red Stars,,Segra Field,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/2330e071/Washington-Spirit-Chicago-Red-Stars-September-12-2020-NWSL-Fall-Series,2330e071
fall series,,Sat,9/12/20,15:30,Courage,1.3,4–3,1.8,Dash,,Sahlen's Stadium at WakeMed Soccer Park,Matthew Franz,Match Report,https://fbref.com/en/matches/9ea41f98/North-Carolina-Courage-Houston-Dash-September-12-2020-NWSL-Fall-Series,9ea41f98
fall series,,Sat,9/19/20,13:00,Courage,1.2,0–0,0.6,Pride,,Sahlen's Stadium at WakeMed Soccer Park,Kevin Broadley,Match Report,https://fbref.com/en/matches/27bba0f5/North-Carolina-Courage-Orlando-Pride-September-19-2020-NWSL-Fall-Series,27bba0f5
fall series,,Sun,9/20/20,12:00 (13:00),Red Stars,2.4,4–1,1.7,Sky Blue FC,,SeatGeek Stadium,Becky Pagan,Match Report,https://fbref.com/en/matches/f7ab07b4/Chicago-Red-Stars-Sky-Blue-FC-September-20-2020-NWSL-Fall-Series,f7ab07b4
fall series,,Sun,9/20/20,12:00 (15:00),Thorns,1.7,3–0,1.4,Royals,,Providence Park,Adorae Monroy,Match Report,https://fbref.com/en/matches/81c16cad/Portland-Thorns-FC-Utah-Royals-FC-September-20-2020-NWSL-Fall-Series,81c16cad
fall series,,Sat,9/26/20,12:00 (13:00),Red Stars,1.6,1–1,1.7,Spirit,,SeatGeek Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/362bd167/Chicago-Red-Stars-Washington-Spirit-September-26-2020-NWSL-Fall-Series,362bd167
fall series,,Sat,9/26/20,13:30 (15:30),Royals,0.9,2–2,0.8,Reign,"1,302",Rio Tinto Stadium,Karen Callado,Match Report,https://fbref.com/en/matches/341cb0c8/Utah-Royals-FC-OL-Reign-September-26-2020-NWSL-Fall-Series,341cb0c8
fall series,,Sat,9/26/20,19:30 (20:30),Dash,4.3,3–1,0.2,Pride,,BBVA Stadium,Joe Jones,Match Report,https://fbref.com/en/matches/9a9a656b/Houston-Dash-Orlando-Pride-September-26-2020-NWSL-Fall-Series,9a9a656b
fall series,,Wed,9/30/20,19:00 (22:00),Thorns,2.6,4–1,0.6,Reign,,Providence Park,Farhad Dadkho,Match Report,https://fbref.com/en/matches/afbff619/Portland-Thorns-FC-OL-Reign-September-30-2020-NWSL-Fall-Series,afbff619
fall series,,Sat,10/3/20,12:30,Sky Blue FC,0.4,0–1,1.6,Spirit,,MSU Soccer Park at Pittser Field,Joshua Encarnacion,Match Report,https://fbref.com/en/matches/47752024/Sky-Blue-FC-Washington-Spirit-October-3-2020-NWSL-Fall-Series,47752024
fall series,,Sun,10/4/20,18:00 (19:00),Dash,2.7,4–1,1.4,Courage,,BBVA Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/640d698b/Houston-Dash-North-Carolina-Courage-October-4-2020-NWSL-Fall-Series,640d698b
fall series,,Sat,10/3/20,20:00 (22:00),Royals,1.5,1–1,2.8,Thorns,"1,905",Rio Tinto Stadium,Karen Abt,Match Report,https://fbref.com/en/matches/eb4022c0/Utah-Royals-FC-Portland-Thorns-FC-October-3-2020-NWSL-Fall-Series,eb4022c0
fall series,,Fri,10/9/20,17:00,Pride,0.9,1–2,2.9,Dash,,Osceola County Stadium,Alex Billeter,Match Report,https://fbref.com/en/matches/e7d9f27c/Orlando-Pride-Houston-Dash-October-9-2020-NWSL-Fall-Series,e7d9f27c
fall series,,Sat,10/10/20,12:30,Sky Blue FC,1.8,3–1,1.8,Red Stars,,MSU Soccer Park at Pittser Field,Luis Arroyo,Match Report,https://fbref.com/en/matches/dc7cc573/Sky-Blue-FC-Chicago-Red-Stars-October-10-2020-NWSL-Fall-Series,dc7cc573
fall series,,Sat,10/10/20,17:00 (20:00),Reign,1.5,1–2,3.1,Thorns,,Cheney Stadium,Laura Rodriguez,Match Report,https://fbref.com/en/matches/7f16970d/OL-Reign-Portland-Thorns-FC-October-10-2020-NWSL-Fall-Series,7f16970d
fall series,,Sat,10/17/20,16:00,Pride,1.2,3–3,3.6,Courage,,Exploria Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/794f4ccf/Orlando-Pride-North-Carolina-Courage-October-17-2020-NWSL-Fall-Series,794f4ccf
fall series,,Sat,10/17/20,17:00 (20:00),Reign,1.5,2–0,0.7,Royals,,Cheney Stadium,Adorae Monroy,Match Report,https://fbref.com/en/matches/bffd3e4c/OL-Reign-Utah-Royals-FC-October-17-2020-NWSL-Fall-Series,bffd3e4c